Contract Address,Balance (OP),Contract Type
0xDEF1ABE32c034e558Cdd535791643C58a13aCC10,477.9419573809491,Other
0x7cD2809801486720B8A8687B004f12DA5312b0bd,1190.267702142779,Other
0x41F733220852D0775EC1f860782AA7796e4dD60E,22.806306039243413,Other
0x34a265e1EBCb31586293eb2D2f94c6ff2f920340,7036.999999999801,Other
0x92BF0534cd70029F2Ce682357Fd81008A8936A03,20.41,Other
0x2ef9edcF393c6C0Aba643DA04eD1fe4c21BF4332,2.5,Other
0x8a2D904f5143C862C373C6249a6C495b6a92DE12,4.0,Gnosis Safe Proxy
0x97778d5E40E1F6272B73408D9C97488f89572216,1.04144077,Gnosis Safe Proxy
0x535072479fC0BA7D3f28035d95D98f516CF3D3c5,20.557,Other
0x46D585Ff283E60599Be1E6398CA8b386813A290C,7612.768867842598,Gnosis Safe Proxy
0x687DB391a02f37c4cbF9eAB7714c4B5fD2C9AFAc,1.75,Gnosis Safe Proxy
0x4B0369E895E4fA1C7CbEA2fBEc49a22b2F653d38,286.3,Vault Contract
0x779a1EDE5695d9734F30628c212f8A93A088e46B,2425.494827219949,ERC20 Token
0xc2716405b57bC8856037Cc30a6490526A5C58b40,7.835629728542335,Gnosis Safe Proxy
0xfa871B2E1cF74C439fc1fFb937744b9CE83B1095,3570.803106428337,Gnosis Safe Proxy
0x55eFc5306E252C760b522Bae97c798c425c68025,10.0395,Other
0xa08E0d07D998755bC798a074A6E0Ba8Dfa1e3100,2.4,Other
0x895Bf19e4bB7D73A868f503bb3Fa00Cd275BfAa6,208.61193748215726,ERC20 Token
0x8E86e5331D3A020909c9e42eA9051675555F5e49,15885.843354029737,Other
0x86CBdC5CEF34DC476a7E045a66026dFF61d3971f,2.4,Other
0x880703e72072843668a4660B926471a74b54dEF9,34.708977008,Other
0xF91C56399086E85A745a75342a0A63dDd3485631,49999.99999999999,Gnosis Safe Proxy
0xe69F0f444e37E4e7a9068cD79808a90182ab21d0,27336.670667227216,Gnosis Safe Proxy
0xAb8Eb061780f4d1C859A7CF6E7D05C19b8858c5C,600.0,Gnosis Safe Proxy
0x3796650Dcd8f1df0DceCbB131A0444d7416305C1,1.1,Other
0x5b87b469C597d56ABa7a2D2ED4b89E6a1c2439bF,19223.73,Gnosis Safe Proxy
0x0dfBA58cA7f491083bfca22cd6276a603b4B00B1,52.9,Vault Contract
0xfa9E46120F60D77CC145d9c86bf201C8cDbe12B7,11.924646809999999,Gnosis Safe Proxy
0xbf1aeA8670D2528E08334083616dD9C5F3B087aE,17587.286558786174,ERC20 Token
0x6157a23105579640c65eF6c68854eB1A0842c7e0,3302.411545092812,Gnosis Safe Proxy
0xBd8e488B8a55F79aCECE1de716a8171e5d82D085,20000.0,Gnosis Safe Proxy
0x3cB5Eb5ba4B7F2e3464312467A42e83Ea5af83De,612.913,Gnosis Safe Proxy
0x9ABFD4C49b1f7FCb21d1d191837bc242Ac2d3B1f,5454.113725628177,ERC20 Token
0x827493B58b51876e2C87e3A94618578eC1838c30,2.5647635004510896,Gnosis Safe Proxy
0x08e356c805Ea8D7e148A145352a2acFCDb3fbe22,69.25503455,Gnosis Safe Proxy
0xA782e2e95d95dDF762506d71575A261839b52C40,106.0,Vault Contract
0xdc5579580EeCce716E78536701c3421b5C311856,129.47750007953277,ERC20 Token
0x7C1D19a050e3F32Bd84D4f3191c876b7c16be891,40.0,Other
0x23494306E305cFe2162A251748E61D709c4f2343,4.0523,Other
0xa5e0A27bBcF079C2eD5A7f67D50C29Ddd4Bd7cbe,625.363314043851,Gnosis Safe Proxy
0xB280fab4817C54796F9E6147aa1ad0198CFEfb41,7217.113171697617,ERC20 Token
0x0fA689d1FdBc80ddefAA0718eCBbbAf8eBE853B8,2.22788543,Gnosis Safe Proxy
0x34815f1DcC2C5221f77DaF5BabcCE9f114c7F4A5,4.994156398219948,Other
0x77503e4be87FA17020c5E12F15335128Eb8bB676,50285.61544172923,Gnosis Safe Proxy
0xC850333f5cbd26987A78ccACAdCF3e2A2A8F328F,23.5,Vault Contract
0x68a914Ee6B4Cf4756eF6173BcD4DC3BE95c41D49,10000.0,Gnosis Safe Proxy
0x598F8E0d9e03F9CeFaF056F5F3F4f45bcB9b0fBF,3.45528576513496,Other
0x9be3c361E7C6F4F223649f7b900eC95020822c88,51.4,Vault Contract
0xE3C6e0C44906ac62394CDDcDf65d016618c8aF07,1.568,Other
0xcf6268984652ae18C724d1Cc52bC9900bC1578a0,49999.99999999999,Gnosis Safe Proxy
0x667A303dC9d4b094c7a6E3FC839398d6B96Cf42D,1.560960715,Other
0xc7e8d4F0067013b470d2104EA41FAaF1226b8bA7,21.3,Other
0x7866Bc29fB6Fe902bE847e4329c218223f022627,372.4639688445417,ERC20 Token
0x4787959D349f7F87bBf5eDA1dfe77B0912cE7821,12.017,Other
0x7AE109A63ff4DC852e063a673b40BED85D22E585,4.0,Gnosis Safe Proxy
0xEDd4E9A521D94FFbEAeE0103D85E3893090d7158,291.0,Vault Contract
0x708b2224C26124783A7Fe7a445cE970131A4ECDf,2.548133441,Other
0x2981977c5223A74DFbd66F1EBb5c1329b23ab3c4,1.56297128,Gnosis Safe Proxy
0xc36Ae0469EC19EefD6923f2e4445a782644A0371,351.4058538977174,Other
0xd2B9625817912FCc45C1b5D98196120a10Bc9E12,17.43233526,Other
0x76c0Ec8ad500a99d7f6c6bc4095433f5F17bb356,39.70485864796263,Gnosis Safe Proxy
0x5C2ddA88E60Cc7dC611A78Ca751c898d4D2778a5,5.6249552457997405,Other
0x1b4F46A76E5070b584936c50866473A10cb242f4,2.2,Other
0xb30a6B57AC9600C04996D4e6D2dE043466Dff258,7.6381541,Other
0x605431F7bABA76B23cF385a10a1399EE1B678D0C,1.284,Other
0xC000a5EBCCAFa035cDB8795638D9825Bd7D63FA6,2.6502184969166285,Other
0x3deCe47FCFD12469e4c1C8d464645165fD855496,293.0,Other
